0.549342	0.812183	1	tqhdxyjh
0.655843	0.872964	2	yqtntavg
0.252158	0.841005	3	l
0.326677	0.222428	4	cqftp
0.420012	0.285436	5	dybvb
0.102084	0.829006	6	ooq
0.539061	0.140037	7	tpprau
0.533617	0.683837	9	m
0.539673	0.790571	10	nkensf
0.069963	0.723425	11	ljweyijg
0.602378	0.076664	47782	bq
0.600472	0.504174	47783	nosebsy
0.234482	0.830068	47784	z
0.714681	0.215849	47785	grvodn
0.073233	0.897657	47786	vk
0.522439	0.480733	47787	yqibc
0.022948	0.705391	47788	xifb
0.767437	0.688238	47789	hmfmyc
0.031748	0.524569	47790	bionwie
0.581227	0.619821	47791	ujhrzwp
0.243198	0.221137	47792	tfp
0.924192	0.736911	47793	d
0.172520	0.802066	47794	pueh
0.701785	0.126763	47795	hzqdzbu
0.692512	0.389701	47796	sponukji
0.018977	0.167159	47797	lpmmxlig
0.589892	0.571205	47798	wn
0.581319	0.985439	47799	slkv
0.017101	0.688700	47800	wqt
0.862213	0.927686	47801	dddvnvw
0.823973	0.300604	47802	dmfoqpof
0.023239	0.770095	47803	iwxap
0.526148	0.842963	47804	mjcoexs
0.614914	0.312085	47805	ojv
