0.549342	tqhdxyjh
0.655843	yqtntavg
0.252158	l
0.326677	cqftp
0.420012	dybvb
0.102084	ooq
0.539061	tpprau
0.794226	xgelshx
0.533617	m
0.539673	nkensf
0.069963	ljweyijg
0.285198	tjwt
0.688699	ogfjn
0.840449	vwkcjrni
0.268076	yfhoqna
0.180596	pxgwjw
0.660581	bf
0.933527	itc
0.429178	w
0.620003	zlli
0.862751	tjivbny
0.714650	jt
0.787987	xvxg
0.299620	cduqemx
0.757914	yd
0.728858	ufs
0.823956	inleota
0.914368	hvhcg
0.726787	cx
0.171185	j
0.744810	fmyc
0.292390	w
0.345897	bd
0.051568	h
0.436237	vuul
0.298636	mmkvr
0.816783	cqpjz
0.186088	uulik
0.635233	vvxhuvoh
0.578603	e
0.099790	gyhslir
0.289499	f
0.095173	gew
0.420553	fj
0.923464	tqbr
0.960433	rfl
0.060038	cerntcfp
0.395822	nfkujj
0.531441	siccucl
0.759898	jhoxwdi
0.950987	mnxrkv
0.589898	diqebe
0.360363	gk
0.711064	zvmi
0.180650	xtpjy
0.140012	pnuilpmn
0.529139	sn
0.023514	qbtydjl
0.511004	ueicu
0.809077	cbb
0.715643	x
0.197985	wyjjxlu
0.669510	gytlo
0.949719	c
0.471313	f
0.835807	t
0.714836	gv
0.292875	am
0.587557	kjwxud
0.374472	md
0.693208	pxn
0.616798	zygongd
0.433114	qgiayqit
0.554516	g
0.691684	vlo
0.401948	wlmnk
0.119590	pt
0.328800	fpi
0.666268	wjhbgjgr
0.341422	ftepgay
0.415586	irhxa
0.335463	u
0.243102	ygqttssk
0.500674	y
0.731248	cniandd
0.174921	fem
0.823467	kawvct
0.565975	imun
0.242282	gbdtivq
0.554448	lwn
0.440938	qbojlprw
0.784552	evjgwj
0.038165	q
0.657295	d
0.801908	ixytp
0.805957	exh
0.390670	ktu
0.397514	nevkxixk
0.314628	dogckll
0.080573	jcqjvrkl
0.759091	cx
0.313824	gfxypspq
0.431452	muf
0.277898	xgnwi
0.074193	dsbk
0.306891	vgkgqb
0.621652	jdqcfnk
0.830976	jqz
0.294853	elvdb
0.277609	xy
0.187641	s
0.841750	z
0.375782	wgt
0.488029	lofs
0.297669	hnvcsst
0.335389	oo
0.568141	t
0.372198	uonpwrze
0.126497	mm
0.490834	lmobb
0.887416	abwpm
0.792158	ykgmtqjn
0.939647	rsohhd
0.054076	fkf
0.809609	tqrfclcd
0.842025	b
0.392986	rxvglnko
0.559832	r
