0.849753	0.465801
0.833414	0.046917
0.299340	0.113763
0.628371	0.396661
0.850223	0.439856
0.491286	0.139312
0.926336	0.365045
0.098094	0.022290
0.249844	0.421662
0.985915	0.625293
0.901426	0.439641
0.789765	0.572511
0.404734	0.018796
0.985183	0.131634
0.567113	0.301607
0.290177	0.751111
0.328999	0.377605
0.642931	0.022109
0.545106	0.480942
0.579763	0.603063
0.838121	0.557196
0.901413	0.248167
0.758917	0.924980
0.125557	0.930904
0.070469	0.160519
0.642608	0.171826
0.591456	0.433556
0.711988	0.837177
0.185694	0.424365
0.364726	0.969106
0.850448	0.680409
0.313663	0.246586
0.077089	0.591777
0.067781	0.938760
0.055608	0.845749
0.574316	0.574772
0.817762	0.930276
0.133705	0.416824
0.178822	0.568891
0.589210	0.476333
0.838828	0.965941
0.074632	0.563739
0.397897	0.063513
0.458973	0.911463
0.291008	0.699356
0.098328	0.265897
0.314548	0.220112
0.674300	0.244814
0.618488	0.037305
0.242979	0.326954
0.161210	0.467904
0.945540	0.985013
0.008407	0.927868
0.462174	0.010958
0.944051	0.816763
0.272978	0.697095
0.599448	0.674044
0.017221	0.414309
0.456126	0.334982
0.185765	0.000385
0.108390	0.819805
0.167866	0.811328
0.437456	0.157077
0.321154	0.518704
0.810886	0.407576
0.673753	0.395371
0.305697	0.290650
0.563886	0.052759
0.083915	0.906203
0.788094	0.632604
0.781753	0.778141
0.784965	0.846932
0.625799	0.068383
0.852760	0.614673
0.529793	0.305369
0.728258	0.157147
0.274820	0.439245
0.229909	0.464269
0.973323	0.429899
0.572802	0.711103
0.758227	0.938630
0.927573	0.013815
0.644757	0.465152
0.094367	0.935596
0.761172	0.639837
0.558877	0.047994
0.758075	0.161576
0.247354	0.632247
0.963377	0.588134
0.385783	0.739718
0.788285	0.965559
0.031436	0.021182
0.583801	0.758072
0.678968	0.737191
0.196760	0.665173
0.693305	0.893617
0.756651	0.792057
0.842734	0.810422
0.091415	0.859674
0.710585	0.939399
